age,income,existing_debt,loan_amount,credit_history_years,num_late_payments,num_credit_lines,employment_years,debt_to_income,loan_to_income,default_risk
59,75795.13,21731.32,27062.01,16,1,10,9,0.287,0.357,0
49,44772.0,0.0,28002.47,21,1,14,17,0.0,0.625,0
35,52410.0,17521.67,15955.31,12,2,5,14,0.334,0.304,0
63,29426.51,3139.31,21655.0,11,1,13,32,0.107,0.736,0
28,24439.55,21084.42,26246.02,9,1,8,4,0.863,1.074,1
41,17125.19,22143.19,25113.24,0,3,11,36,1.293,1.466,1
59,32296.73,13280.52,20487.37,29,1,12,39,0.411,0.634,0
39,81051.24,13303.32,37191.03,7,0,5,21,0.164,0.459,0
43,18945.46,6936.37,26992.17,20,1,7,21,0.366,1.425,1
31,43929.28,1544.17,14591.85,21,4,6,21,0.035,0.332,0
31,24137.09,31980.93,14663.97,17,3,11,14,1.325,0.608,1
44,37980.52,6349.29,13302.96,1,1,7,16,0.167,0.35,0
56,53393.88,30677.96,27585.45,15,1,13,27,0.575,0.517,0
60,35997.68,6405.0,12527.03,11,2,9,21,0.178,0.348,0
44,71793.3,20251.9,14901.21,8,0,3,20,0.282,0.208,0
23,80679.56,3621.93,32696.27,2,1,10,16,0.045,0.405,0
42,10000.0,20233.95,22299.58,21,3,7,4,2.023,2.23,1
22,36340.15,11744.13,34382.39,25,0,13,17,0.323,0.946,1
44,51182.84,11874.84,29576.72,20,1,10,16,0.232,0.578,0
64,72522.34,21100.23,5879.94,29,3,3,3,0.291,0.081,0
50,40915.11,10308.59,18774.4,27,5,13,6,0.252,0.459,0
58,49601.29,718.52,31879.39,3,2,2,24,0.014,0.643,0
22,26865.12,22613.06,5333.89,25,1,12,36,0.842,0.199,0
41,19344.08,3540.99,25036.53,1,1,7,39,0.183,1.294,1
53,78907.69,20165.17,19529.16,7,0,4,39,0.256,0.247,0
32,13518.6,24729.97,1000.0,9,3,1,8,1.829,0.074,1
42,96572.38,11245.06,21435.91,15,1,6,18,0.116,0.222,0
64,64503.03,26823.53,9950.38,22,2,11,8,0.416,0.154,0
45,63599.46,19817.84,5988.18,10,2,6,22,0.312,0.094,0
47,61509.37,8041.39,20109.69,17,1,6,30,0.131,0.327,0
62,44946.29,29014.29,1000.0,21,2,2,31,0.646,0.022,0
48,57841.69,3583.28,11908.52,13,2,1,30,0.062,0.206,0
36,46222.07,11233.0,50614.09,7,1,3,16,0.243,1.095,1
35,61061.47,12936.85,27802.67,22,1,12,38,0.212,0.455,0
64,49326.27,21052.24,9422.9,14,2,14,21,0.427,0.191,0
23,30993.04,26154.33,36849.99,16,0,2,34,0.844,1.189,1
57,32588.55,25527.92,8095.48,20,0,6,29,0.783,0.248,0
27,30314.55,17237.48,13355.66,17,1,13,39,0.569,0.441,0
41,69418.01,12197.31,6213.78,5,0,12,36,0.176,0.09,0
29,37651.07,0.0,23072.96,22,2,6,25,0.0,0.613,0
59,11757.94,1858.54,36423.56,29,4,13,5,0.158,3.098,1
38,57936.77,32666.55,8011.93,13,2,5,33,0.564,0.138,0
24,80290.35,0.0,1000.0,22,4,10,31,0.0,0.012,0
45,65461.66,7155.09,33091.6,2,2,10,24,0.109,0.506,0
34,37933.53,26446.06,38645.61,6,6,5,12,0.697,1.019,1
29,18263.77,17097.13,1000.0,14,0,9,37,0.936,0.055,1
46,47314.64,24280.45,25520.65,20,1,14,37,0.513,0.539,0
22,46815.52,20428.28,22718.06,23,1,5,1,0.436,0.485,0
40,30616.01,29695.83,10550.3,27,4,13,4,0.97,0.345,1
48,61020.75,17954.27,3267.73,15,2,10,10,0.294,0.054,0
27,86932.53,21634.48,31901.0,15,2,6,10,0.249,0.367,0
64,54445.65,7757.53,22148.85,7,2,11,23,0.142,0.407,0
28,53209.52,20863.33,23053.12,6,1,4,13,0.392,0.433,0
55,31255.44,11038.74,12538.77,5,0,10,29,0.353,0.401,0
34,77948.29,10468.94,10377.09,1,1,14,39,0.134,0.133,0
37,48497.12,23947.24,1000.0,21,1,14,34,0.494,0.021,0
56,38420.73,24016.23,17263.66,12,2,1,20,0.625,0.449,1
60,51273.77,31884.42,37265.92,11,1,4,4,0.622,0.727,1
24,59439.23,31232.63,9316.95,14,4,2,37,0.525,0.157,1
22,52784.31,24173.15,1731.02,26,2,10,1,0.458,0.033,0
26,74123.07,0.0,25227.97,8,1,3,39,0.0,0.34,0
62,57679.43,33276.81,27440.96,1,0,7,36,0.577,0.476,0
24,44321.16,24179.68,12969.13,16,1,7,33,0.546,0.293,0
49,58023.84,7341.4,15814.83,26,3,1,10,0.127,0.273,0
38,59992.74,22289.09,23166.84,28,2,8,35,0.372,0.386,0
46,24072.48,4627.34,18133.41,4,2,7,10,0.192,0.753,1
64,72988.39,21186.3,32001.55,10,3,1,8,0.29,0.438,0
54,43981.92,1837.3,49246.91,21,1,8,5,0.042,1.12,1
30,44493.54,6917.82,1000.0,18,4,14,33,0.155,0.022,0
56,65027.52,22099.29,34757.06,23,4,14,36,0.34,0.534,0
34,64943.3,25728.87,21263.12,6,2,2,31,0.396,0.327,0
51,35983.37,18254.37,36658.41,1,3,8,11,0.507,1.019,1
35,66058.03,12138.31,28692.25,15,3,3,31,0.184,0.434,0
28,38791.04,0.0,20733.88,11,1,10,16,0.0,0.535,0
34,86391.46,12909.79,29120.28,22,2,7,3,0.149,0.337,0
43,33436.12,20334.85,15270.13,14,0,13,32,0.608,0.457,1
60,54789.55,11832.35,10708.38,0,1,6,8,0.216,0.195,0
41,34359.65,14774.22,29730.36,24,0,5,33,0.43,0.865,0
36,94453.91,13143.83,9868.06,12,0,11,38,0.139,0.104,0
38,25243.58,11782.94,27708.47,22,2,10,29,0.467,1.098,1
44,60487.25,15758.77,20368.97,5,1,14,19,0.261,0.337,0
46,35301.79,12273.05,1000.0,12,2,11,38,0.348,0.028,0
45,42917.85,29432.9,13107.41,17,1,2,22,0.686,0.305,0
61,59070.76,0.0,24018.06,2,3,2,34,0.0,0.407,0
49,74491.69,9541.57,15127.99,0,3,13,22,0.128,0.203,0
35,82467.93,6297.44,1000.0,14,2,12,38,0.076,0.012,0
21,19261.04,17191.11,35849.0,25,1,1,22,0.893,1.861,1
45,55355.02,15771.45,22032.5,12,1,14,36,0.285,0.398,0
27,79189.87,31221.93,25324.87,4,0,9,22,0.394,0.32,0
29,16293.78,34511.42,14320.69,24,0,11,38,2.118,0.879,1
44,56287.67,7269.17,26377.88,12,3,8,27,0.129,0.469,0
21,49958.32,15005.0,42017.84,21,3,8,18,0.3,0.841,0
64,58290.84,16963.04,11179.12,4,3,1,29,0.291,0.192,0
28,34553.92,7021.86,40004.15,27,0,5,20,0.203,1.158,0
44,21287.62,21283.82,24782.77,18,2,12,23,1.0,1.164,1
31,11737.87,12604.93,9566.81,20,1,6,20,1.074,0.815,1
37,69527.68,4323.65,46548.69,23,1,2,25,0.062,0.669,0
28,72080.98,12204.32,24699.68,27,3,10,35,0.169,0.343,0
55,56053.71,5023.25,28117.74,17,2,5,25,0.09,0.502,0
55,39317.03,25366.47,16767.77,20,2,6,32,0.645,0.426,0
53,17539.08,34015.59,10444.08,21,1,9,35,1.939,0.595,1
25,61266.91,17448.19,22013.76,9,2,10,3,0.285,0.359,0
62,27984.41,16112.77,38977.56,23,2,1,8,0.576,1.393,1
59,35774.03,16524.35,16284.08,7,0,13,7,0.462,0.455,1
61,38268.72,26822.34,19678.99,14,2,10,1,0.701,0.514,1
48,46049.3,26606.99,37475.94,20,1,3,28,0.578,0.814,1
27,34819.19,13843.46,16396.08,24,0,12,22,0.398,0.471,0
29,50669.18,17525.9,26123.32,19,3,9,5,0.346,0.516,0
28,37563.63,21526.46,30528.21,27,0,14,35,0.573,0.813,0
32,64027.46,3623.13,17638.63,24,1,1,20,0.057,0.275,0
54,70621.26,27126.08,23718.05,26,1,1,21,0.384,0.336,0
53,52170.85,32348.32,27933.23,22,1,1,8,0.62,0.535,1
43,59252.53,26650.32,15189.02,21,4,7,33,0.45,0.256,0
44,92357.12,2544.06,29789.18,3,1,13,25,0.028,0.323,0
57,26547.93,0.0,13436.17,1,1,5,0,0.0,0.506,1
55,25330.64,22087.19,11898.95,23,3,6,35,0.872,0.47,1
64,63899.96,7398.11,1675.51,5,2,13,4,0.116,0.026,0
60,88930.86,17871.33,13958.45,27,0,14,21,0.201,0.157,0
42,44790.03,30351.49,10213.97,2,0,8,3,0.678,0.228,1
47,84536.68,8430.45,15189.51,6,3,14,1,0.1,0.18,0
55,51928.67,11224.45,27343.91,9,1,13,15,0.216,0.527,0
21,36382.25,17767.23,1000.0,22,1,2,15,0.488,0.027,0
55,30186.15,2024.9,1000.0,5,0,13,21,0.067,0.033,0
57,62588.27,7421.44,11011.05,15,2,2,0,0.119,0.176,0
34,31700.82,15248.58,25534.77,1,2,3,14,0.481,0.805,1
23,51625.54,11995.45,23466.38,23,1,13,23,0.232,0.455,0
21,81669.3,21084.08,10819.25,16,3,3,3,0.258,0.132,0
25,43864.39,42659.8,34032.9,12,6,13,17,0.973,0.776,1
46,76280.19,15991.38,12099.08,0,1,3,16,0.21,0.159,0
34,25709.13,6582.88,25549.45,5,3,4,6,0.256,0.994,1
59,39321.82,29182.4,15646.56,4,0,3,9,0.742,0.398,1
47,21857.12,0.0,9574.68,24,1,2,0,0.0,0.438,0
29,51459.94,1110.92,12739.2,12,2,9,1,0.022,0.248,0
35,65601.56,9048.97,28808.0,27,0,6,21,0.138,0.439,0
35,51503.74,12171.13,24332.3,22,1,3,31,0.236,0.472,0
46,74541.0,8809.27,31617.23,17,2,9,28,0.118,0.424,0
62,35016.42,14684.88,24331.83,28,1,4,34,0.419,0.695,0
33,54506.86,17747.42,1000.0,11,1,4,16,0.326,0.018,0
52,39450.61,25689.6,45372.98,6,1,8,11,0.651,1.15,1
59,57233.53,15911.88,24502.03,14,0,7,23,0.278,0.428,0
52,60074.72,9380.54,26176.06,2,0,7,29,0.156,0.436,0
24,61647.92,25146.45,15477.95,15,3,10,29,0.408,0.251,0
50,28588.11,6822.85,33358.14,0,0,7,19,0.239,1.167,1
57,32205.08,0.0,6882.71,26,0,10,6,0.0,0.214,0
43,35914.25,27059.56,27317.95,15,3,11,37,0.753,0.761,1
59,45222.39,26418.53,1000.0,23,0,5,6,0.584,0.022,0
35,51743.73,7077.02,28126.5,29,2,7,29,0.137,0.544,0
63,64161.78,11009.01,7045.4,11,4,4,11,0.172,0.11,0
49,33038.03,5830.72,23323.93,18,1,8,30,0.176,0.706,0
56,17979.61,18266.24,36288.09,26,1,9,17,1.016,2.018,1
33,93114.86,32320.49,29872.61,7,3,13,1,0.347,0.321,0
52,27370.94,22028.82,34692.58,22,0,12,32,0.805,1.267,1
27,66726.47,25357.25,33450.18,11,3,3,10,0.38,0.501,1
42,50625.34,23197.28,13708.61,14,2,7,33,0.458,0.271,0
48,55026.11,14998.81,27179.96,1,2,12,15,0.273,0.494,0
22,49968.99,25833.4,1000.0,28,0,10,34,0.517,0.02,0
62,42303.16,22450.31,11756.76,29,1,9,32,0.531,0.278,0
26,59279.45,29394.46,36711.86,29,4,1,20,0.496,0.619,0
48,41228.26,10404.51,15379.56,16,1,2,19,0.252,0.373,0
48,73326.05,0.0,1000.0,6,0,7,7,0.0,0.014,0
64,61368.82,25452.51,44164.39,12,2,13,25,0.415,0.72,1
64,61991.88,18497.7,26747.0,0,1,2,32,0.298,0.431,0
40,39857.54,12039.54,29173.74,5,1,7,25,0.302,0.732,0
50,45272.91,12598.47,8234.37,12,3,1,36,0.278,0.182,0
31,26241.74,40546.86,23408.68,10,0,3,29,1.545,0.892,1
48,42939.68,8578.05,23090.9,9,4,5,30,0.2,0.538,1
45,29268.48,6466.97,10142.18,15,0,14,32,0.221,0.347,0
59,76261.37,15852.84,17962.16,26,2,12,10,0.208,0.236,0
53,51010.72,26804.91,1994.39,25,2,14,4,0.525,0.039,0
21,53409.94,37784.02,15839.49,23,0,11,1,0.707,0.297,1
47,45497.07,21573.65,31686.16,22,4,6,12,0.474,0.696,1
33,53951.58,2295.91,11037.82,19,0,13,17,0.043,0.205,0
61,99297.55,34708.64,42887.57,16,1,9,25,0.35,0.432,0
23,43997.19,14805.31,2766.9,16,2,9,24,0.337,0.063,0
59,36991.74,6622.91,16877.9,3,0,3,13,0.179,0.456,0
26,60593.86,4206.08,12122.84,4,1,14,4,0.069,0.2,0
28,10000.0,23363.29,17837.83,27,1,8,1,2.336,1.784,1
47,51279.14,17388.29,36457.7,22,1,13,3,0.339,0.711,1
29,42565.74,18450.75,8186.53,13,2,4,11,0.433,0.192,0
57,30153.73,27865.03,14584.75,19,1,7,10,0.924,0.484,1
53,60155.15,6978.45,27854.07,9,0,6,3,0.116,0.463,0
62,51079.77,28661.55,21117.91,13,0,8,8,0.561,0.413,1
